Hotel / Nombre,Ciudad,Teléfono,Website,Score,Rating GBP,Reviews,Pitch / Dolor,Motor Reservas,discovery_questions,draft_email,draft_whatsapp,evidence_links,scan_automations_to_sell,scan_completed_at,scan_quickwins_30d,scan_quickwins_48h,scan_quickwins_7d,scan_requested,scan_requested_at,scan_score,scan_status,scan_summary,scan_top_issues
Hotel Tarraco Park,Desconocida,977 55 67 73,,"49,5","4,1",1986,"Hola, equipo del Tarraco Park. ¡Enhorabuena por esa nota de 4.1 en Google! Viendo vuestra web, imagino que os gustaría convertir esas buenas opiniones en más reservas directas, sin depender tanto de las comisiones de Booking. Tenemos una idea muy visual para vuestro caso. ¿Te puedo enviar un pantallazo rápido sin compromiso para que veas a qué me refiero?",,,,,,,,,,,No,,,,,
Hotel Avenida,El Morell,622 13 73 17,https://hotelavenidaelmorell.com/,"49,5","4,2",501,"¡Hola! Enhorabuena por la nota de 4.2 en Google. He visto vuestra web y he notado que las reservas van por Booking.com. Sé lo que pican esas comisiones... Hemos ayudado a hoteles en Tarragona a recuperar ese margen. ¿Os puedo pasar un pantallazo rápido de cómo se vería un motor de reservas propio, sin compromiso?",,,,,,,,,,,No,,,,,
Augustus,Cambrils,977 38 11 54,https://www.augustushotels.es/,"49,5","4,1",6528,"¡Hola! Vi la nota tan buena que tenéis en Google con los hoteles de Cambrils. Con tantos clientes contentos, imagino que os interesará que más reservas entren directas por vuestra web, evitando comisiones. ¿Os parece si os paso un pantallazo rápido de cómo podríais hacerlo? Sin ningún compromiso.",,,,,,,,,,,No,,,,,
Hotel Morell,El Morell,622 13 73 17,https://www.hotelmorell.com/,"49,5","4,1",195,"¡Hola! Vi que Hotel Morell tiene una nota de 4.1 en Google, ¡felicidades! Me llamó la atención que para reservar os tienen que enviar un email. Esto frena a muchos clientes. ¿Os puedo enviar un pantallazo de cómo podríais recibir reservas directas desde la web, sin intermediarios y sin compromiso? Un saludo.",,,,,,,,,,,No,,,,,
Hostal Vall d'Àneu,Desconocida,973 62 60 97,https://www.hostalvalldaneu.com,"49,5","4,1",577,"¡Hola! Felicidades por la nota de 4.1 en Google para el Hostal Vall d'Àneu. He visto que usáis un motor de reservas externo y algunos contadores a cero en la web. Estos pequeños detalles suelen desviar clientes hacia Booking, con las comisiones que eso implica. ¿Os parece si os envío un pantallazo rápido con una idea para mejorar esto, sin compromiso?",,,,,,,,,,,No,,,,,
Solé,la Pobla de Segur,973 68 04 52,https://www.hotelsole.es/,"49,5","4,1",953,"¡Hola! Vi vuestro hotel Solé, muy buena nota en Google. Me llamó la atención que el botón de reserva de vuestra web lleva a Booking. Sé lo que pican esas comisiones, sobre todo cuando el cliente ya está en vuestra propia casa. Hay una forma muy sencilla de que esas reservas os entren directas, sin intermediarios. ¿Os puedo pasar un pantallazo rápido sin compromiso para que lo veáis?",,,,,,,,,,,No,,,,,
Hostal del Carme,Vilagrassa,973 31 10 00,https://www.hostaldelcarme.com,"49,5","4,1",3364,"¡Hola! Vimos vuestra web, ¡qué historia tan chula desde 1961! Notamos que para reservar hay que enviar un email, y sabemos que eso a veces hace que se pierdan clientes. Hay una forma súper fácil de que os entren reservas directas 24/7. ¿Os puedo pasar un pantallazo rápido de cómo quedaría, sin compromiso?",,,,,,,,,,,No,,,,,
Hotel Alegret,Tremp,973 65 01 00,https://www.hotelalegret.com/,"49,5","4,6",460,"¡Hola! Felicidades por la notaza de 4.6 en Google para el Hotel Alegret. Con esa reputación, es una pena que muchas reservas se escapen por Booking con las comisiones que eso supone. Hemos pensado una forma para que las captéis directamente. ¿Os puedo enviar un pantallazo rápido con la idea, sin compromiso?",,,,,,,,,,,No,,,,,
Hotel Restaurant Pintor Marsà,Tàrrega,973 50 15 16,https://www.hotelpintormarsa.com/,"49,5",4,243,"¡Hola! He estado viendo la web del Hotel Pintor Marsà y me encanta el encanto familiar que transmitís. He notado que para reservar, los clientes tienen que salir de vuestra página. Esto suele costar mucho dinero en comisiones. ¿Os puedo pasar un pantallazo rápido de cómo podríais aceptar reservas directas sin que se os vaya un euro a terceros? Sin compromiso.",,,,,,,,,,,No,,,,,
Hotel Port 1730,Desconocida,973 49 23 33,https://hotelportdelcomte1730.com,"49,5","3,8",300,"¡Hola! Me encanta vuestra ubicación, ser el único hotel a pie de pistas en Port del Comte es un puntazo. He visto que para reservar animáis a llamar o enviar un mail, y eso puede hacer que perdáis clientes que quieren confirmar al momento. ¿Os puedo pasar un pantallazo de cómo podríais automatizarlo y no perder ni una reserva, sin compromiso?",,,,,,,,,,,No,,,,,
Hotel Cardós,Ribera de Cardós,973 62 31 00,,"49,5","4,2",596,"¡Hola! He visto el Hotel Cardós y la buena nota que tenéis en Google. Me da la sensación de que la web no os hace justicia y la falta de un sistema de reservas directo y seguro (no es https) os puede estar haciendo perder clientes. Tenemos una forma muy visual de que las reservas entren solas, sin comisiones. ¿Os puedo enviar un pantallazo rápido sin compromiso para que veáis a qué me refiero?",,,,,,,,,,,No,,,,,
Refugi de Siurana,Siurana,977 82 13 82,https://refugisiurana.cec.cat,"49,5","3,7",299,"¡Hola! Vemos que el Refugi es un punto clave para escaladores en Siurana. Hemos pensado que el proceso de reserva en vuestra web podría ser mucho más directo y automático, para que no se os escape ni una sola noche y os quitéis la gestión manual de emails. ¿Os puedo pasar un pantallazo rápido, sin compromiso, de cómo se vería para recibir reservas confirmadas al momento?",,,,,,,,,,,No,,,,,
Casa Rural Cal Calsot,Montellà,973 51 53 69,https://www.calcalsot.com/,"49,5","4,9",226,"¡Hola! Enhorabuena por la notaza de 4.9 en Google para Cal Calsot, ¡se nota vuestro trabajo! He visto vuestra web y con un pequeño ajuste podríais recibir todas las reservas directamente, sin pagar las altas comisiones de los portales. ¿Os puedo enviar un pantallazo rápido para que veáis a qué me refiero? Sin compromiso.",,,,,,,,,,,No,,,,,
Banhs de Tredòs,Desconocida,674 76 18 13,https://www.banhsdetredos.com/,"49,5","4,2",446,"¡Hola! Vi la buena nota de Banhs de Tredòs en Google y la pasada de actividades que ofrecéis. Me preguntaba cómo os las apañáis para gestionar tantas peticiones por el formulario. Sospecho que con un sistema de reservas directas podríais ahorrar mucho tiempo y asegurar más ventas al momento. ¿Os puedo enviar un pantallazo de cómo se vería, sin compromiso?",,,,,,,,,,,No,,,,,
Hotel Pessets,Sort,973 62 00 00,https://www.hotelpessets.com,"49,5","4,2",1839,"¡Hola, equipo del Hotel Pessets! Enhorabuena por esa nota de 4.2 en Google. He echado un ojo a vuestra web y vi un par de detalles (uno es un texto raro en ruso) que os pueden estar haciendo perder reservas directas y depender más de portales con altas comisiones. ¿Os puedo pasar un pantallazo rápido con lo que vi, sin compromiso?",,,,,,,,,,,No,,,,,
Refugi dera Artiga de Lin,Desconocida,873 45 08 03,https://artigadelin.com/,"49,5","4,1",184,"¡Hola! Vimos vuestro refugio en Artiga de Lin, un sitio espectacular. Notamos que las reservas se hacen por email y pensamos que podríais estar perdiendo clientes que buscan confirmar al momento. ¿Os parece si os paso un pantallazo de cómo se vería con un calendario online, sin compromiso?",,,,,,,,,,,No,,,,,
Ca l'Esquerré,Cervià de les Garrigues,616 14 37 10,https://calesquerre.com/,"49,5","4,9",37,"¡Hola! Vi la notaza de 4.9 que tenéis en Google, ¡enhorabuena por Ca l'Esquerré! Me fijé que las reservas os llegan por Booking y Airbnb. Hay una forma muy sencilla de que ese dinero de las comisiones se quede en casa. ¿Os puedo pasar un pantallazo rápido de cómo se vería, sin compromiso?",,,,,,,,,,,No,,,,,
Hostal Era Claveròla,Desconocida,609 45 97 86,,"49,5","4,4",50,"¡Hola! Vi que tenéis una nota genial de 4.4 en Google, ¡enhorabuena! Imagino que con esa reputación, os gustaría recibir más reservas directas y no depender tanto de las comisiones de Booking. Hemos ayudado a hostales como el vuestro a conseguirlo con un par de ajustes en la web. ¿Os puedo enviar un pantallazo rápido sin compromiso para que veáis a qué me refiero?",,,,,,,,,,,No,,,,,
Hotel Restaurant Blanc & Negre 2,Desconocida,973 39 12 13,https://blancinegre2.com,"49,5","3,9",2361,"¡Hola! He estado viendo la web de vuestro hotel en Agramunt. Me parece que tenéis potencial, pero he notado que los clientes no pueden reservar directamente. Esto a menudo os obliga a depender de portales que cobran altas comisiones. ¿Os puedo enviar un pantallazo de cómo podríais solucionarlo? Sin compromiso.",,,,,,,,,,,No,,,,,
Refugi Ventosa i Calvell,Desconocida,973 64 16 81,http://www.refugiventosa.com/,"49,5","3,9",328,"¡Hola! He visto la web de vuestro refugio, ¡qué pasada de sitio! Me he fijado en que los visitantes no pueden reservar directamente y el navegador la marca como 'No Segura'. Esto suele hacer que se pierdan reservas por el camino. ¿Os parece si os envío un pantallazo rápido de cómo se podría solucionar para facilitar las reservas directas? Sin compromiso.",,,,,,,,,,,No,,,,,
Port d'Ager,Àger,973 29 22 98,https://www.hotelportdager.com/,"49,5","4,1",488,"¡Hola! Felicidades por esa nota de 4.1 en Google. Vemos que vuestra web no tiene un sistema de reservas directo, lo que suele significar comisiones altas a terceros. Hemos ayudado a hoteles como el vuestro a captar esas reservas directamente. ¿Os parece si os envío un pantallazo de cómo quedaría, sin ningún compromiso?",,,,,,,,,,,No,,,,,
Hotel Mirador,Lles de Cerdanya,973 51 50 75,https://hotelmirador.cat/,49,4,498,"¡Hola! He visto el Hotel Mirador y la buena nota que tenéis en Google. Me he fijado que el sistema de reservas os saca de la web, y sé lo que fastidian las comisiones de terceros. Tenemos una forma muy visual para que todas las reservas se queden en casa y recuperéis ese margen. ¿Te puedo mandar un pantallazo rápido sin compromiso para que veas cómo quedaría?",,,,,,,,,,,No,,,,,
Hotel Gaudí,Desconocida,977 34 55 45,https://www.gargallo-hotels.com/,49,"3,5",1552,"Hola, equipo del Hotel Gaudí. He estado echando un vistazo a vuestra web y me gusta la historia que contáis. Veo una forma sencilla de potenciar vuestras reservas directas para no depender tanto de portales. ¿Os parece si os envío un ejemplo rápido sin ningún compromiso?",,,,,,,,,,,No,,,,,
Masia d'en Valentí,Desconocida,973 35 31 40,http://www.masvalenti.com,"44,5","4,6",190,"¡Buenas! Veo que Masia d'en Valentí tiene una nota genial de 4.6 en Google, ¡felicidades! He visto que vuestra web no es segura y esto puede hacer que perdáis reservas directas. Es un detalle técnico fácil de arreglar que os ayudaría a llenar más fechas. ¿Os puedo enviar un pantallazo rápido para que veáis a qué me refiero? Sin compromiso.",,,,,,,,,,,No,,,,,
Cal Tendre Sidró,Talltendre,877 01 63 27,https://www.cerdanya.org/cal-pere-sidro/,"44,5","4,4",630,"¡Hola! He visto que tenéis una nota genial de 4.4 en Google, ¡enhorabuena! Muchos clientes os buscarán ahí, pero al no tener una web propia con reservas es fácil que se pierdan. Sin compromiso, ¿os puedo pasar un pantallazo de cómo podríais tener vuestro propio sistema para capturar esas reservas directas?",,,,,,,,,,,No,,,,,
Cal Salut,Gratallops,669 97 65 91,https://www.calsalut.com,"44,5","4,7",58,"¡Hola, equipo de Cal Salut! Enhorabuena por el 4.7 en Google, ¡qué pasada! He visto vuestra web y creo que podríais llenar más mesas si la gente pudiera reservar online directamente. Muchos clientes se pierden si tienen que llamar. ¿Os envío un ejemplo rápido de cómo quedaría, sin compromiso?",,,,,,,,,,,No,,,,,
Ca Lazara,Desconocida,610 52 38 20,https://www.calazaro.com/,"44,5","4,9",41,"¡Hola! Enhorabuena por esa notaza de 4.9 en Google, ¡qué pasada! Hemos visto que gestionáis las reservas por teléfono/whatsapp. Muchos clientes hoy en día buscan confirmar al momento y se pierden si no ven un calendario online. ¿Os parece si os envío un pantallazo rápido de cómo podríais tenerlo en vuestra web, sin compromiso? Un saludo.",,,,,,,,,,,No,,,,,
Hotel Sant Jordi,Desconocida,876 200,https://santjordihotel.com,"44,5","3,2",965,"¡Hola! He visto vuestro hotel, la ubicación en la playa Savinosa es un lujo. Imagino que, como a muchos hoteles de la zona, las comisiones de los portales se comen una parte importante del beneficio. ¿Te puedo enviar un pantallazo rápido de cómo podríais recibir esas reservas directamente desde vuestra web, sin compromiso?",,,,,,,,,,,No,,,,,
Hotel Husa Imperial Tarraco,Desconocida,977 15 66 07,https://www.h10hotels.com/,"44,5","4,4",2500,"¡Hola! Vi vuestro H10 Imperial Tarraco, ¡qué notaza tenéis en Google (4.4)! 💪 Muchos hoteles como el vuestro pierden margen con las OTAs. Hemos visto una forma sencilla de que más clientes os reserven directamente a vosotros, sin intermediarios. ¿Os puedo pasar un pantallazo rápido sin compromiso para que lo veáis?",,,,,,,,,,,No,,,,,
Best Hotel San Diego,Desconocida,(619) 435-6611,http://www.besthotels.es/es/hotel-costa-dorada/hotel-san-diego/18,"44,5","4,5",20700,"¡Hola! Felicidades por esa notaza de 4.5 en Google. Vemos que tenéis un potencial enorme para la reserva directa, pero la complejidad del buscador y la falta de HTTPS en la web puede estar desviando clientes a Booking sin que os deis cuenta. Es una pena que se pierdan esas ventas. ¿Os puedo enviar un pantallazo rápido que lo ilustra, sin compromiso?",,,,,,,,,,,No,,,,,
Spiaggia Dorata,Mont-roig del Camp,619 34 30 43,https://my.matterport.com/show/?m=6R8ezDDgjzt,"44,5","4,7",27,"¡Hola! Vi vuestro tour 3D de Spiaggia Dorata y la súper nota de 4.7 en Google, ¡enhorabuena! Me di cuenta de que no tenéis una web para que la gente os reserve directamente y así evitar las comisiones de intermediarios. ¿Os parece si os envío un pantallazo de cómo se vería, sin ningún compromiso? ¡Un saludo!",,,,,,,,,,,No,,,,,
Hotel Restaurant Pepo,Desconocida,977 46 22 00,https://www.restaurantpepo.com/reserva-hotel/,"44,5","4,6",1989,"¡Hola! Vi la notaza de 4.6 que tenéis en Google, ¡enhorabuena! Con esa reputación, seguro que os gustaría que más reservas entraran directamente por vuestra web sin las comisiones de intermediarios. ¿Os puedo enviar un pantallazo rápido de cómo se vería, sin compromiso?",,,,,,,,,,,No,,,,,
Cal Rei,Desconocida,938 47 51 70,,"44,5","4,4",1039,"¡Hola! Vi la notaza que tenéis en Google (4.4) en Cal Rei y me extrañó no ver una opción para reservar directamente. Imagino que muchas reservas os llegan por otros canales. ¿Os puedo pasar un pantallazo rápido de cómo podríais gestionar todo desde vuestra propia página, sin comisiones y sin compromiso?",,,,,,,,,,,No,,,,,
FONDA ISARD,el Pont de Suert,686 29 19 37,http://www.fondaisard.com/,"44,5","3,5",33,"¡Hola! He echado un ojo a vuestra web de Fonda Isard. Me he fijado en un par de detalles técnicos, como que la página no es segura, y esto os puede estar haciendo perder reservas directas. Es algo muy fácil de corregir. ¿Os puedo pasar un pantallazo rápido para que lo veáis, sin ningún compromiso?",,,,,,,,,,,No,,,,,
Cal Dragó (casa rural),Montornès de Segarra,654 61 82 83,https://www.caldrago.com/,"44,5","4,7",116,"¡Hola! He visto Cal Dragó, tenéis una nota increíble en Google (4.7 ⭐). Me da la sensación de que vuestra web actual no os permite convertir esas buenas opiniones en reservas directas y sin comisiones. ¿Os puedo pasar un pantallazo de cómo podríais automatizarlo sin compromiso?",,,,,,,,,,,No,,,,,
Hotel Castellarnau,Desconocida,973 62 20 63,https://www.hotelcastellarnau.com/,"44,5","4,3",980,"¡Hola! He visto la web del Hotel Castellarnau y vuestra notaza de 4.3 en Google, ¡enhorabuena! Me he fijado que el motor de reservas es externo y sé que las comisiones son un dolor de cabeza. ¿Te parece bien si te envío un pantallazo rápido, sin compromiso, de cómo podríais gestionar esas reservas directamente y aumentar la rentabilidad?",,,,,,,,,,,No,,,,,
Refugi del Fornet,Alós d ‘Isil Alt Aneu (Leida),973 09 23 40,http://refugidelfornet.es,"44,5","4,5",309,"¡Hola! Felicidades por la nota de 4.5 en Google. Os escribo porque he visto que vuestra web refugidelfornet.es está 'suspendida' y seguramente estáis perdiendo reservas por ahí. Si queréis, os paso un pantallazo de cómo podría verse para que vuelva a funcionar y a captar clientes. ¿Os parece bien?",,,,,,,,,,,No,,,,,
Hotel Cambrils Playa,Desconocida,977 36 44 12,http://www.saragrup.com/es/hotel-cambrils/hotel-cambrils-playa,"44,5","4,4",2147,¡Hola! Enhorabuena por la notaza de 4.4 en Google para el Hotel Cambrils Playa. Vemos que vuestra web podría estar captando reservas directamente para evitar las altas comisiones de Booking. Ahora mismo es probable que se os escapen muchas. ¿Os puedo enviar un pantallazo de cómo se vería para que no perdáis ni una más? Sin compromiso.,,,,,,,,,,,No,,,,,
Fonda Can Fasersia,la Pobla de Segur,695 16 91 81,https://www.canfasersia.com/,"44,5","4,3",733,"¡Hola! He visto la gran nota de 4.3 que tenéis en Google, ¡enhorabuena! Me di cuenta de que vuestra web está en construcción y es una pena, porque seguro que perdéis reservas directas de clientes que no pueden ver las habitaciones. Tenemos una forma muy visual de solucionarlo para que no dependáis de nadie. ¿Os puedo enviar un pantallazo rápido sin compromiso para que veáis cómo quedaría?",,,,,,,,,,,No,,,,,
"Holiday Villa ""Hanri",Mont-roig del Camp,977 81 07 54,https://booking.arendacostadorada.com/,"44,5","4,4",179,"¡Hola! He visto la buena nota que tenéis en Google con la villa Hanri, ¡felicidades! Quería echar un vistazo a vuestra web pero veo que está caída. Es una pena, porque seguro que estáis perdiendo reservas directas por esto. ¿Os puedo enviar un pantallazo de cómo podría verse para solucionarlo, sin ningún compromiso?",,,,,,,,,,,No,,,,,
Mediterrani Blau,Desconocida,977 47 93 10,http://www.hotelmediterraniblau.com/es/index.php,"44,5","4,4",1274,"¡Hola! He visto vuestro hotel Mediterrani Blau y la notaza que tenéis en Google, ¡enhorabuena! Me fijé en que la web no tiene el candado de seguridad y esto puede estar frenando las reservas directas que buscáis. ¿Os parece si os envío un pantallazo de cómo se solucionaría para que no perdáis ni una reserva más? Sin compromiso.",,,,,,,,,,,No,,,,,
Hostal Restaurant Roma,Cubells,973 45 90 03,https://hostalroma.com/,"44,5","4,1",1665,"¡Hola! Felicidades por esa nota de 4.1 en Google. He visto vuestra web y creo que no le hace justicia, seguro que se os escapan reservas directas por la primera impresión. ¿Os puedo pasar un pantallazo rápido de cómo podría mejorar para convertir más visitas en clientes? Sin compromiso.",SiteMinder,,,,,,,,,,No,,,,,
Refugi del Montsant,Desconocida,621 22 72 83,https://centreexcursionistatarragona.com/refugi-montsant/,"44,5","4,5",73,"¡Hola! Vimos la notaza de 4.5 que tenéis en Google con el Refugi del Montsant, ¡felicidades! Con esa reputación, es una pena que la gente no pueda reservaros directamente online. Seguramente perdéis clientes que buscan inmediatez. ¿Os parece si os envío un pantallazo rápido de cómo se vería un calendario de reservas en vuestra web? Sin ningún compromiso.",,,,,,,,,,,No,,,,,
Résidence Pierre et Vacances Cala Cristal,Mont-roig del Camp,977 17 29 86,https://www.pierreetvacances.com/,"44,5","4,6",142,¡Hola! Enhorabuena por la notaza de 4.6 en Google para vuestra residencia. Vemos que gran parte de vuestras reservas pueden llegar a través de portales externos. ¿Os gustaría ver una forma sencilla de potenciar la reserva directa y reducir esas comisiones? Os puedo mandar un pantallazo rápido sin compromiso.,,,,,,,,,,,No,,,,,
Hotel eth Pomer,Desconocida,973 64 28 88,https://www.hotelpomer.com/,"44,5","4,5",748,"¡Hola! Vi vuestra notaza de 4.5 en Google, ¡enhorabuena! Es una pena que muchos clientes que os buscan acaben reservando por portales que os cobran una pasta. Hemos ayudado a hoteles como el vuestro a captar esas reservas directamente. ¿Te puedo enviar un pantallazo rápido de cómo quedaría en vuestra web, sin compromiso?",,,,,,,,,,,No,,,,,
Refugi Musté Recasens,Desconocida,638 38 72 60,http://www.refugimontral.com,"44,5","4,5",27,"¡Hola! Vimos vuestra nota de 4.5 en Google, ¡enhorabuena por el buen trabajo en el Refugi! Hemos detectado que la web podría estar perdiendo reservas directas por un par de detalles técnicos fáciles de solucionar. ¿Os parece si os envío un pantallazo rápido con la mejora, sin ningún compromiso?",,,,,,,,,,,No,,,,,
B&B Hotels Tarragona-Valls,Valls,977 60 80 90,https://www.hotel-bb.com/es/hotel/tarragona-valls,"44,5","4,3",2118,"¡Hola! Vi la buena nota de 4.3 que tenéis en Google, ¡enhorabuena! Imagino que el reto es siempre potenciar la reserva directa frente a las OTAs. Hemos ayudado a hoteles como el vuestro a 'robar' reservas a Booking con un pequeño ajuste en la web. ¿Te puedo mandar un pantallazo rápido para que veas a qué me refiero, sin compromiso?",,,,,,,,,,,No,,,,,
Haus am Meer,Desconocida,977 36 24 21,https://www.hausammeer.es/,"44,5","4,5",119,"¡Hola! He visto la buena nota de 4.5 que tenéis en Google en Haus am Meer. Con esas valoraciones, seguro que os gustaría recibir más reservas directas desde vuestra web y depender menos de intermediarios. ¿Os puedo enviar un pantallazo rápido de cómo podríais conseguirlo, sin compromiso?",,,,,,,,,,,No,,,,,
Hotel Estival Centurión Playa Cambrils,Desconocida,977 36 14 50,https://www.centurionplaya.com/,"44,5","4,5",2720,"¡Hola! Enhorabuena por la notaza de 4.5 en Google. Con esa reputación, es una pena que gran parte del beneficio se vaya en comisiones a portales externos. Tenemos una forma muy visual de potenciar vuestra reserva directa. ¿Te puedo pasar un pantallazo rápido para que veas a qué me refiero, sin compromiso?",,,,,,,,,,,No,,,,,
Ca Calbet,Margalef,607 26 48 41,,"44,5","4,3",229,"¡Buenas! He visto la buena nota de Ca Calbet en Google, ¡enhorabuena! Quería avisaros de algo: al entrar en vuestra web, parece que hay un error grave y muestra un contenido extraño que no es vuestro. ¿Os puedo pasar un pantallazo rápido para que lo veáis? Es urgente revisarlo.",,,,,,,,,,,No,,,,,
Refugi Colomina,Desconocida,973 25 20 00,http://www.refugicolomina.com,"44,5","4,6",438,"¡Hola! Felicidades por la notaza de 4.6 en Google. Vimos que vuestra web no transmite esa misma calidad y se ve algo antigua, lo que podría haceros perder reservas directas. ¿Os parece si os envío un pantallazo rápido con una idea para mejorarlo, sin compromiso?",,,,,,,,,,,No,,,,,
Hotel Hipic,Desconocida,692 27 29 50,https://hotelhipic.com,"44,5","3,1",780,"¡Hola! He estado viendo la web del Hotel Hipic. Me imagino que sin un motor de reservas propio, una parte importante de los beneficios se va en comisiones a terceros. ¿Qué os parecería captar esas reservas directamente desde vuestra web? Si os parece, os envío un pantallazo rápido para que veáis cómo, sin ningún compromiso.",,,,,,,,,,,No,,,,,
L'Hostal d'Éller,Bellver de Cerdanya,690 36 23 49,https://hostaleller.com/,"44,5","4,6",112,"¡Hola! Vi la notaza de 4.6 que tenéis en Google, ¡enhorabuena! Imagino que con esa reputación muchas reservas os entrarán por teléfono. Hemos visto que podríais automatizarlas directamente desde vuestra web para no perder ninguna. ¿Os parece si os envío un pantallazo rápido de cómo quedaría, sin compromiso?",,,,,,,,,,,No,,,,,
Refugi del Gerdar,Desconocida,619 04 44 76,https://refugidelgerdar.com/,"44,5","4,5",243,¡Hola! Felicidades por la notaza que tenéis en Google con el Refugi del Gerdar. Vimos que gestionáis las reservas por teléfono/email. ¿Os gustaría ver con un pantallazo rápido cómo podríais automatizarlo para recibir más reservas directas desde la web? Sin ningún compromiso.,,,,,,,,,,,No,,,,,
Hostal Cal Jaume,Mollerussa,973 60 18 80,https://hostalcaljaume.com/,"44,5","3,3",320,"¡Hola! Vi vuestro hostal Cal Jaume en Mollerussa. Me fijé que no se puede reservar online directamente y seguro que se os escapan clientes que no quieren llamar. Si os parece, os envío un pantallazo rápido de cómo podríais recibir reservas directas desde la web, sin compromiso. ¿Os va bien?",,,,,,,,,,,No,,,,,
Hotel Jardí Apartments,Mollerussa,973 60 01 91,https://www.hoteljardi.com/,"44,5","4,3",594,"¡Hola! Felicidades por la nota de 4.3 en Google, se nota que los clientes os valoran. Vimos que en vuestra web no se puede reservar directamente, y es una pena porque seguro que estáis perdiendo reservas o pagando comisiones que podríais ahorrar. ¿Os parece si os envío un pantallazo rápido de cómo quedaría integrado, sin ningún compromiso?",,,,,,,,,,,No,,,,,
Hostal Terraferma,Algerri,973 42 60 04,http://esalgerri.com/#hostal,"44,5","3,2",39,"¡Buenas! Vimos que el Hostal Terraferma es parada del Camí de Sant Jaume, ¡genial! Notamos que vuestra web es la de la gasolinera y no es segura (http), y esto frena a muchos viajeros a la hora de reservar. ¿Os parece si os envío un pantallazo rápido de cómo se vería una web solo para el hostal que os genere reservas directas? Es sin compromiso.",,,,,,,,,,,No,,,,,
El Molí Oleari,Desconocida,669 76 13 47,,"44,5","4,7",42,"¡Buenas! Enhorabuena por ese 4.7 en Google, ¡sois unos cracks! Hemos visto vuestra web y creemos que no os hace justicia. Al no ser segura (HTTP), es probable que esté generando desconfianza y haciendo que perdáis reservas directas. ¿Os puedo enviar un pantallazo rápido sin compromiso de cómo podríais solucionarlo?",,,,,,,,,,,No,,,,,
Hotel Playa Park,Salou,977 38 09 09,https://www.4rhotels.com/4r-playa-park,"44,5","4,3",1747,"¡Hola! Enhorabuena por la nota de 4.3 en Google. Vemos que muchos clientes os encuentran, pero la web no facilita la reserva directa, forzando a ir a portales que os cobran comisión. Sabemos cómo convertir esas visitas en reservas para vosotros. ¿Os puedo enviar un pantallazo rápido de la solución, sin compromiso?",,,,,,,,,,,No,,,,,
Best Marítim,Cambrils,977 38 55 96,https://www.besthotels.es/destinos-y-hoteles/best-maritim.html,"44,5","4,3",4022,"¡Hola! Vi vuestra genial nota de 4.3 en Google para el Best Marítim. ¡Enhorabuena! He detectado una pequeña fricción en vuestro proceso de reserva que podría estar desviando clientes a Booking. Es un detalle sutil pero que impacta directamente en la rentabilidad. ¿Os puedo pasar un pantallazo rápido para que lo veáis, sin compromiso?",,,,,,,,,,,No,,,,,
Casa Guilla,Desconocida,07974 655138,https://www.foxhouselife.com/,"44,5",5,73,"¡Hola! Enhorabuena por ese 5/5 en Google para Fox House, ¡es espectacular! Vuestra web transmite el lujo de la casa, pero vemos que las reservas son por formulario. Probablemente perdéis a quien quiere reservar al momento. ¿Os parece si os envío un pantallazo de cómo podríais automatizarlo? Sin compromiso.",,,,,,,,,,,No,,,,,
Hotel Casa Irene,Desconocida,973 64 43 64,https://www.hotelcasairene.com/hotel/,"44,5","4,6",283,"¡Hola! Enhorabuena por la notaza que tenéis en Google. Vemos que no tenéis motor de reservas propio y me imagino que las comisiones de terceros se comen un buen pico del margen. Estamos ayudando a hoteles como el vuestro a recuperar ese control. ¿Te puedo pasar un pantallazo de cómo quedaría en vuestra web, sin compromiso?",,,,,,,,,,,No,,,,,
La Cantera Rural,Vinaixa,679 54 56 91,https://lacanterarural.com/,"44,5",5,74,"¡Hola! Enhorabuena por ese 5.0 en Google para La Cantera Rural, ¡qué pasada! Hemos visto que ahora mismo las reservas se gestionan por teléfono/email. Muchos alojamientos como el vuestro mejoran su rentabilidad al automatizarlo. ¿Os puedo enviar un pantallazo rápido de cómo se vería en vuestra web, sin compromiso?",,,,,,,,,,,No,,,,,
Roch Hotel,Desconocida,973 62 17 59,https://www.rochhotel.com,"44,5","4,8",420,¡Hola! Enhorabuena por esa notaza de 4.8 en Google. He visto vuestra web y me pregunto si estáis cansados de las altas comisiones de las OTAs. Muchos hoteles de la zona ya están recuperando ese margen. ¿Os puedo pasar un pantallazo rápido de cómo se vería en vuestra web para que no se os escape ni una reserva directa? Sin compromiso.,,,,,,,,,,,No,,,,,
Casa Boumort,Desconocida,679 70 08 14,,"44,5",5,188,"¡Hola! Soy Marc. ¡Enhorabuena por ese 5/5 en Google, se nota que cuidáis cada detalle! He visto vuestra web y me preguntaba si os gustaría recibir reservas directas desde ahí, sin intermediarios ni comisiones. ¿Os puedo pasar un pantallazo de cómo quedaría, sin compromiso?",,,,,,,,,,,No,,,,,
Hostal Crisami,Desconocida,973 48 04 13,http://www.hostalcrisami.com,"44,5","4,5",989,"¡Hola! Enhorabuena por ese 4.5 en Google, vuestros clientes os valoran un montón. He visto que vuestra web actual no os hace justicia y seguramente os está haciendo perder reservas. Hemos ayudado a otros hostales a tener una página que sí convierte. ¿Os parece si os envío un pantallazo rápido de cómo podría ser, sin ningún compromiso?",,,,,,,,,,,No,,,,,
